Distance;height_df;speed_df;curve_df;elevation_df;stops_df
0;0;25;;47;KUH
1;0,048846154;25;;47;
2;0,097692308;25;;47;
3;0,146538462;25;;47;
4;0,195384615;25;;47;
5;0,244230769;25;;47;
6;0,293076923;25;;47;
7;0,341923077;25;;47;
8;0,390769231;25;;47;
9;0,439615385;25;;47;
10;0,488461538;25;;47;
11;0,537307692;25;;47;
12;0,586153846;25;;47;
13;0,635;25;;47;
14;0,683846154;25;;47;
15;0,732692308;25;;47;
16;0,781538462;25;;47;
17;0,830384615;25;-1,927105153;47;
18;0,879230769;25;;47;
19;0,928076923;25;;47;
20;0,976923077;25;;47;
21;1,025769231;25;;47;
22;1,074615385;25;;47;
23;1,123461538;25;;47;
24;1,172307692;25;;47;
25;1,221153846;25;;47;
26;1,27;25;;47;
27;1,311944444;25;;47;
28;1,353888889;25;;47;
29;1,395833333;25;;47;
30;1,437777778;25;;47;
31;1,479722222;25;;47;
32;1,521666667;25;;47;
33;1,563611111;25;;47;
34;1,605555556;25;;47;
35;1,6475;25;;47;
36;1,689444444;25;;47;
37;1,731388889;25;16,23299043;47;
38;1,773333333;25;;47;
39;1,815277778;25;;47;
40;1,857222222;25;;47;
41;1,899166667;25;;47;
42;1,941111111;25;;47;
43;1,983055556;25;;47;
44;2,025;25;;47;
45;2,066944444;25;;47;
46;2,108888889;25;;47;
47;2,150833333;25;;47;
48;2,192777778;25;;47;
49;2,234722222;25;;47;
50;2,276666667;25;;47;
51;2,318611111;25;;47;
52;2,360555556;25;;47;
53;2,4025;25;;47;
54;2,444444444;25;;47;
55;2,486388889;25;;47;
56;2,528333333;25;;47;
57;2,570277778;25;9,865164704;47;
58;2,612222222;25;;47;
59;2,654166667;25;;47;
60;2,696111111;25;;47;
61;2,738055556;25;;47;
62;2,78;25;;47;
63;2,762833333;25;;47;
64;2,745666667;25;;47;
65;2,7285;25;;47;
66;2,711333333;25;;47;
67;2,694166667;25;;47;
68;2,677;25;;43;
69;2,368;25;;40;
70;2,247833333;25;;-8,727272727;
71;2,230666667;25;;-12,45454545;
72;2,2135;25;;-16,18181818;
73;2,196333333;25;;-19,90909091;
74;2,179166667;25;;-23,63636364;
75;2,162;25;;-27,36363636;
76;2,144833333;25;;-31,09090909;
77;2,127666667;25;18,76832845;-34,81818182;
78;2,1105;25;;-38,54545455;
79;2,093333333;25;;-42,27272727;
80;2,076166667;25;;-46;
81;2,059;25;;-46;
82;2,041833333;25;;-46;
83;2,024666667;25;;-46;
84;2,0075;25;;-46;
85;1,990333333;25;;-46;
86;1,973166667;25;;-46;
87;1,956;25;;-46;
88;1,938833333;25;;-46;
89;1,921666667;25;;-46;
90;1,9045;25;;-46;
91;1,887333333;25;23,54419774;-46;
92;1,870166667;25;;-46;
93;1,853;25;;-46;
94;1,835833333;25;;-46;
95;1,818666667;25;;-46;
96;1,8015;25;;-46;
97;1,784333333;25;;-46;
98;1,767166667;25;;-46;
99;1,75;25;;-46;
100;1,704444444;25;;-46;
101;1,658888889;25;;-46;
102;1,613333333;25;;-46;
103;1,567777778;25;;-46;
104;1,522222222;25;;-46;
105;1,476666667;25;;-46;
106;1,431111111;25;;-46;
107;1,385555556;25;;-46;
108;1,34;25;;-46;
109;1,294444444;25;;-46;
110;1,248888889;25;;-46;
111;1,203333333;25;;-46;
112;1,157777778;25;;-46;
113;1,112222222;25;;-46;
114;1,066666667;25;;-46;
115;1,021111111;25;;-46;
116;0,975555556;25;;-46;
117;0,93;25;23,54419774;-46;
118;0,884444444;25;;-46;
119;0,838888889;25;;-46;
120;0,793333333;25;;-46;
121;0,747777778;25;;-46;
122;0,702222222;25;;-46;
123;0,656666667;25;;-46;
124;0,611111111;25;;-46;
